call_id,agent_id,call_type,sop_call_type,transcript_file,sop_file,audio_file,status,transcript_parse_time_sec,sop_json_time_sec,sop_comparison_time_sec,call_quality_time_sec,sentiment_time_sec,audio_metrics_time_sec,output_write_time_sec,total_processing_time_sec,error,agent_name,agent_identity_source
CALL001,A001,Booker Adventure Feedback,Booking,Transcription_Booker_Adventure Activity_Adventure_75034_BK.pdf,Mahindra Adventure booker questionnaire.docx,Booker_Adventure Activity_Adventure_75034_BK.wav,Success,0.099,0.017,94.592,0.043,0.145,2.397,0.176,98.761,,Nagesh,registry_name_match
CALL002,A002,Booker Adventure Feedback,Booking,Transcription_Booker_Adventure Activity_Adventure_76503_BK.pdf,Mahindra Adventure booker questionnaire.docx,Booker_Adventure Activity_Adventure_76503_BK.wav,Success,0.097,0.006,77.336,0.034,0.134,1.427,0.155,79.36,,Sakshi,registry_name_match
CALL003,A003,Booker Adventure Feedback,Booking,Transcription_Booker_Adventure Activity_Adventure_76741_BK.pdf,Mahindra Adventure booker questionnaire.docx,Booker_Adventure Activity_Adventure_76741_BK.wav,Success,2.516,0.005,104.198,0.067,0.35,4.194,0.169,111.735,,Shashikant,registry_name_match
CALL004,A004,Booker Adventure Feedback,Booking,Transcription_Booker_Adventure Activity_Adventure_79786_BK.pdf,Mahindra Adventure booker questionnaire.docx,Booker_Adventure Activity_Adventure_79786_BK.wav,Success,0.12,0.004,77.838,0.034,0.169,2.634,0.146,81.127,,Pragya,registry_name_match
CALL005,A004,Booker Adventure Feedback,Booking,Transcription_Booker_Adventure Activity_Adventure_81534_BK.pdf,Mahindra Adventure booker questionnaire.docx,Booker_Adventure Activity_Adventure_81534_BK.wav,Success,0.086,0.004,83.153,0.042,0.135,1.752,0.163,85.485,,Pragya,registry_name_match
CALL006,A006,Rejector Adventure Feedback,Other,Transcription_Rejector_Adventure Activity_Adventure_49751_Rej.pdf,Mahindra Adventure rejectors questionnaire.docx,Rejector_Adventure Activity_Adventure_49751_Rej.wav,Success,0.085,0.016,64.944,0.044,0.174,2.275,0.118,67.824,,Dheeraj,registry_name_match
CALL007,A007,Rejector Adventure Feedback,Other,Transcription_Rejector_Adventure Activity_Adventure_53156_Rej.pdf,Mahindra Adventure rejectors questionnaire.docx,Rejector_Adventure Activity_Adventure_53156_Rej.wav,Success,2.006,0.004,63.991,0.035,0.152,2.031,0.138,68.513,,Sneha,registry_name_match
CALL008,A006,Rejector Adventure Feedback,Other,Transcription_Rejector_Adventure Activity_Adventure_55821_Rej.pdf,Mahindra Adventure rejectors questionnaire.docx,Rejector_Adventure Activity_Adventure_55821_Rej.wav,Success,0.075,0.005,63.944,0.044,0.136,1.987,0.148,66.502,,Dheeraj,registry_name_match
CALL009,A006,Rejector Adventure Feedback,Other,Transcription_Rejector_Adventure Activity_Adventure_59529_Rej.pdf,Mahindra Adventure rejectors questionnaire.docx,Rejector_Adventure Activity_Adventure_59529_Rej.wav,Success,0.107,0.005,71.248,0.037,0.196,3.113,0.153,75.05,,Dheeraj,registry_name_match
CALL010,A007,Rejector Adventure Feedback,Other,Transcription_Rejector_Adventure Activity_Adventure_70057_Rej.pdf,Mahindra Adventure rejectors questionnaire.docx,Rejector_Adventure Activity_Adventure_70057_Rej.wav,Success,0.091,0.003,77.063,0.035,0.147,2.031,0.135,79.674,,Sneha,registry_name_match
