batch_output_version,batch_output_generated_at,call_id,evidenced_sop_items,sequence_break_count,sequence_followed_pct,first_sequence_break
run_003,2026-07-03T12:29:56,CALL001,15,0,100.0,
run_003,2026-07-03T12:29:56,CALL002,15,0,100.0,
run_003,2026-07-03T12:29:56,CALL003,15,0,100.0,
run_003,2026-07-03T12:29:56,CALL004,14,0,100.0,
run_003,2026-07-03T12:29:56,CALL005,15,0,100.0,
run_003,2026-07-03T12:29:56,CALL006,12,0,100.0,
run_003,2026-07-03T12:29:56,CALL007,11,1,90.91,SOP002 before/overlaps after SOP001
run_003,2026-07-03T12:29:56,CALL008,11,1,90.91,SOP003 before/overlaps after SOP001
run_003,2026-07-03T12:29:56,CALL009,11,2,81.82,SOP003 before/overlaps after SOP002
run_003,2026-07-03T12:29:56,CALL010,12,1,91.67,SOP015 before/overlaps after SOP014
